Date,Mean (min),Min (min),Max (min),Low Threshold,High Threshold,Total Lost Minutes
2024-10-25,90.7,84,101,91.0,96.6,252.6
2024-10-26,88.0,84,92,89.0,91.0,150.5
2024-10-27,86.3,83,90,87.4,89.0,152.2
2024-10-28,90.7,86,102,92.0,95.0,229.0
2024-10-29,91.2,83,112,92.0,101.0,351.1
2024-10-30,92.2,84,111,93.0,101.0,321.4
2024-10-31,92.8,87,109,93.0,102.6,323.3
2024-11-01,90.7,84,101,91.0,96.6,252.6
2024-11-02,88.0,84,92,89.0,91.0,150.5
2024-11-03,86.3,83,90,87.4,89.0,152.2
2024-11-04,90.7,86,102,92.0,95.0,229.0
2024-11-05,91.2,83,112,92.0,101.0,351.1
2024-11-06,92.2,84,111,93.0,101.0,321.4
2024-11-07,92.8,87,109,93.0,102.6,323.3
2024-11-08,90.7,84,101,91.0,96.6,252.6
2024-11-09,88.0,84,92,89.0,91.0,150.5
2024-11-10,86.3,83,90,87.4,89.0,152.2
2024-11-11,90.7,86,102,92.0,95.0,229.0
2024-11-12,91.2,83,112,92.0,101.0,351.1
2024-11-13,92.2,84,111,93.0,101.0,321.4
2024-11-14,92.8,87,109,93.0,102.6,323.3
2024-11-15,90.7,84,101,91.0,96.6,252.6
2024-11-16,88.0,84,92,89.0,91.0,150.5
2024-11-17,86.3,83,90,87.4,89.0,152.2
2024-11-18,90.7,86,102,92.0,95.0,229.0
2024-11-19,91.2,83,112,92.0,101.0,351.1
2024-11-20,92.2,84,111,93.0,101.0,321.4
2024-11-21,92.8,87,109,93.0,102.6,323.3
2024-11-22,90.7,84,101,91.0,96.6,252.6
2024-11-23,88.0,84,92,89.0,91.0,150.5
2024-11-24,86.3,83,90,87.4,89.0,152.2
2024-11-25,90.7,86,102,92.0,95.0,229.0
